Accel Partners,"Palo Alto, California",1983,"Andrew Braccia, Sameer Gandhi, Ping Li, Ryan Sweeney, Rich Wong",Technology,"$6,000M[1]","Actua Corporation was a venture capital firm. During the dot com bubble, the company had a market capitalization of over $50 billion."
Actua Corporation,"Wayne, Pennsylvania",1996 (announced dissolution 2018)[2],Ken Fox and Walter Buckley,Internet,$535M,Advanced Technology Ventures (ATV) is an American venture capital firm with more than $1.8 billion in capital under management.
Advanced Technology Ventures,"Waltham, Massachusetts",1979,"Dr. Thaddeus (Teddy) F. Walkowicz, Dr. Ivan Sutherland, George Kokkinakis and Dr. Robert Loewy","IT, Healthcare & Cleantech","$1,800M","Andreessen Horowitz (also called a16z) is a private American venture capital firm, founded in 2009 by Marc Andreessen and Ben Horowitz."
Andreessen Horowitz,"Menlo Park, California",2009,Marc Andreessen and Ben Horowitz,Internet,"$2,700M[3]","This article is about the life sciences venture capital firm Atlas Venture, which previously also invested in technology."
Atlas Venture,"Cambridge, Massachusetts",1984,"Jeff Fagnan, Fred Destin and Ryan Moore",Technology,"$1,000M",Could not find a summary.
Atomico Ventures,London; Sao Paulo; Beijing; Tokyo,2006,"Niklas Zennstrom, Geoffrey Prentice,[4] Mattias Ljungman, Hiro Tamura",Technology,€200M,"August Capital is a venture capital firm founded by David Marquardt and John Johnston in 1995. It is focused on information technology and is based in Menlo Park, California."
August Capital,"Menlo Park, California[5]",1995[6],,,"Early Stage Venture Capital, SAAS, Internet, & Information Technology, Software[5]","Austin Ventures (AV) is a private equity firm focused on venture capital and growth equity investments in business services and supply chain, financial services, new media, Internet, and information services companies nationally with a focus on Texas."
Austin Ventures,"Austin, Texas[7]",1979[8],,,"Early Stage Venture Capital, New Media, Internet, & Information Services, Software, Texas Middle Market[7]",Could not find a summary.
Avalon Ventures,"La Jolla, CA; Cambridge, Massachusetts",1983,"Kevin Kinsella, Richard Levandov, Jay Lichter and Braden Bohrmann",Information Technology and Bio Technology,$800M,"Azure Capital Partners, founded 2000, is an early stage venture capital firm that invests in the information technology industry using an investment research approach to venture capital investing."
Azure Capital Partners,San Francisco,2000,"Paul Ferris, Mike Kwatinetz, Cameron Lester, Paul Weinstein","Communications, Consumer, Enterprise, Internet, IT Infrastructure",$330M,"Bain Capital Ventures LLC is the venture capital division within Bain Capital, which has approximately $60 billion of assets under management worldwide."
Bain Capital Ventures,Boston,1984,"Ajay Agarwal, Jeff Crisan, Scott Friend, Jeffrey Glass, Michael Krupka, James Nahirny, J. Benjamin Nye, Jeffrey Schwartz (Managing Directors)","Infrastructure Software and Services, Communications, New Media, Business Services, Healthcare","$1,400M[9]","Balderton Capital is a venture capital firm based in London, UK, that invests in early-stage, technology and internet startup companies, primarily in Europe."
Balderton Capital,London,2007 (formerly Benchmark Europe: independent since 2007),"Barry Maloney, Bernard Liautaud, Mark Evans, Tim Bunting (General Partners)","Enterprise Software, New Media, Business Services","$2,300M[10]","Battery Ventures is a global, technology-focused investment firm. Founded in 1983, the firm makes venture-capital and private-equity investments from offices in Boston, Silicon Valley, San Francisco and Israel."
